Year,Round,Circuit,Driver,Constructor,Status,Altitude,Type,is_mechanical_dnf,Engine_Cycle_Pos
2014,1,melbourne,ROS,Mercedes,Finished,5.0,Street,0,1
2014,1,melbourne,MAG,McLaren,Finished,5.0,Street,0,1
2014,1,melbourne,BUT,McLaren,Finished,5.0,Street,0,1
2014,1,melbourne,ALO,Ferrari,Finished,5.0,Street,0,1
2014,1,melbourne,BOT,Williams,Finished,5.0,Street,0,1
2014,1,melbourne,HUL,Force India,Finished,5.0,Street,0,1
2014,1,melbourne,RAI,Ferrari,Finished,5.0,Street,0,1
2014,1,melbourne,VER,Toro Rosso,Finished,5.0,Street,0,1
2014,1,melbourne,KVY,Toro Rosso,Finished,5.0,Street,0,1
2014,1,melbourne,PER,Force India,Finished,5.0,Street,0,1
2014,1,melbourne,SUT,Sauber,+1 Lap,5.0,Street,0,1
2014,1,melbourne,GUT,Sauber,+1 Lap,5.0,Street,0,1
2014,1,melbourne,CHI,Marussia,+2 Laps,5.0,Street,0,1
2014,1,melbourne,BIA,Marussia,+8 Laps,5.0,Street,0,1
2014,1,melbourne,GRO,Lotus F1,ERS,5.0,Street,0,1
2014,1,melbourne,MAL,Lotus F1,ERS,5.0,Street,0,1
2014,1,melbourne,ERI,Caterham,Oil pressure,5.0,Street,0,1
2014,1,melbourne,VET,Red Bull,Engine,5.0,Street,1,1
2014,1,melbourne,HAM,Mercedes,Engine,5.0,Street,1,1
2014,1,melbourne,RIC,Red Bull,Disqualified,5.0,Street,0,1
2014,2,kuala_lumpur,HAM,Mercedes,Finished,18.0,Permanent,0,2
2014,2,kuala_lumpur,ROS,Mercedes,Finished,18.0,Permanent,0,2
2014,2,kuala_lumpur,VET,Red Bull,Finished,18.0,Permanent,0,2
2014,2,kuala_lumpur,ALO,Ferrari,Finished,18.0,Permanent,0,2
2014,2,kuala_lumpur,HUL,Force India,Finished,18.0,Permanent,0,2
2014,2,kuala_lumpur,BUT,McLaren,Finished,18.0,Permanent,0,2
2014,2,kuala_lumpur,MAS,Williams,Finished,18.0,Permanent,0,2
2014,2,kuala_lumpur,BOT,Williams,Finished,18.0,Permanent,0,2
2014,2,kuala_lumpur,MAG,McLaren,+1 Lap,18.0,Permanent,0,2
2014,2,kuala_lumpur,KVY,Toro Rosso,+1 Lap,18.0,Permanent,0,2
2014,2,kuala_lumpur,GRO,Lotus F1,+1 Lap,18.0,Permanent,0,2
2014,2,kuala_lumpur,RAI,Ferrari,+1 Lap,18.0,Permanent,0,2
2014,2,kuala_lumpur,KOB,Caterham,+1 Lap,18.0,Permanent,0,2
2014,2,kuala_lumpur,ERI,Caterham,+2 Laps,18.0,Permanent,0,2
2014,2,kuala_lumpur,CHI,Marussia,+2 Laps,18.0,Permanent,0,2
2014,2,kuala_lumpur,RIC,Red Bull,Technical,18.0,Permanent,0,2
2014,2,kuala_lumpur,GUT,Sauber,Gearbox,18.0,Permanent,1,2
2014,2,kuala_lumpur,SUT,Sauber,Electrical,18.0,Permanent,1,2
2014,2,kuala_lumpur,VER,Toro Rosso,Power Unit,18.0,Permanent,1,2
2014,2,kuala_lumpur,BIA,Marussia,Brakes,18.0,Permanent,0,2
2014,2,kuala_lumpur,MAL,Lotus F1,Engine,18.0,Permanent,1,2
2014,2,kuala_lumpur,PER,Force India,Withdrew,18.0,Permanent,0,2
2014,3,sakhir,HAM,Mercedes,Finished,2.0,Permanent,0,3
2014,3,sakhir,ROS,Mercedes,Finished,2.0,Permanent,0,3
2014,3,sakhir,PER,Force India,Finished,2.0,Permanent,0,3
2014,3,sakhir,RIC,Red Bull,Finished,2.0,Permanent,0,3
2014,3,sakhir,HUL,Force India,Finished,2.0,Permanent,0,3
2014,3,sakhir,VET,Red Bull,Finished,2.0,Permanent,0,3
